VIN (1-10),City,Model Year,Make,Model,Electric_Vehicle_Type,CAFV_Eligibility,Electric_Range,Base_MSRP,Electric Utility
5YJ3E1EB7J,Kirkland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1C4RJYE60P,Kirkland,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3FMTK3R44P,Redmond,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EAXP,Vancouver,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
YV4BR0CK2K,Bellevue,2019,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDEE7N,Bellevue,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJYGDEE5M,Bellevue,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3GPKHXRJ7R,Snohomish,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
7SAYGAEE2P,Seattle,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1N4AZ0CP6F,Bellevue,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EB9N,Kirkland,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3FMTK4SE0M,Poulsbo,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC
5YJ3E1EA3P,Bellevue,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDED4R,Bothell,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDEE8P,Kelso,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY
JHMZC5F3XM,Kelso,2021,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY
KNDCC3LD5K,Seattle,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EA0M,Yakima,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PACIFICORP
7PDSGABA7R,Lake Forest Park,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3FMTK4SX2N,Seattle,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
KMHM24AC8S,Vancouver,2025,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
WAUUPBFF7J,Bellevue,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA8P,Kirkland,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTMABABA0P,Kent,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KM8KNDAF4P,Vancouver,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
7SAYGDEE8R,Vancouver,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
4JGDM2EB7R,Kirkland,2024,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1FY6S08L,Bellevue,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBY73AW04N,Kirkland,2022,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WP0AB2Y12M,Kirkland,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
YV1H60EP2R,Seattle,2024,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,41.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJ3E1EA7P,Kent,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJYGAEE6M,Bellevue,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDEE4R,Seattle,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3GNKDKRJ5S,Bellevue,2025,CHEVROLET,BLAZER EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
7SAYGDEE8P,Vancouver,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
7JRH60FD2S,Bothell,2025,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,41.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJXCDE2XL,Vancouver,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
7SAXCDE5XS,Kent,2025,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KM8K23AG2P,Kirkland,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WMW13DJ0XR,Bellevue,2024,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KMHC75LJ3M,Vancouver,2021,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
KNDCE3LG4N,Port Hadlock,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY
